ID,ID_Kec,Kecamatan,xcoord,ycoord,Jumlah_Kerja
2554,3374010,Mijen,110.316383,-7.062761,34253
2555,3374020,Gunung Pati,110.367496,-7.072382,28192
2556,3374030,Semarang Selatan,110.414112,-7.004791,33498
2557,3374031,Banyumanik,110.414718,-7.075184,76942
2558,3374032,Gajahmungkur,110.394775,-7.018622,59714
2559,3374040,Genuk,110.467743,-6.973787,47531
2560,3374041,Pedurungan,110.46033,-7.006638,80177
2561,3374042,Gayamsari,110.43248,-6.986974,44983
2562,3374050,Semarang Timur,110.423649,-6.984797,47571
2563,3374051,Candisari,110.418537,-7.021397,44258
2564,3374052,Tembalang,110.457775,-7.052025,89287
2565,3374060,Semarang Utara,110.411186,-6.966319,69364
2566,3374070,Semarang Tengah,110.405838,-6.990716,49125
2567,3374080,Semarang Barat,110.376373,-6.985382,86733
2568,3374090,Tugu,110.326313,-6.966705,19682
2569,3374091,Ngaliyan,110.326439,-6.997666,63222
